Time,wfv_1,wfv_2,wfv_3,Hour,Day,Month
2022-03-24 13:00:00,26.30215436,22.03180449,22.48593419,13,24,3
2022-03-24 13:15:00,26.25240061,22.03180449,22.48740509,13,24,3
2022-03-24 13:30:00,26.30349828,22.03329213,22.48887594,13,24,3
2022-03-24 13:45:00,26.06228236,22.03329213,22.49034674,13,24,3
2022-03-24 14:00:00,26.06363361,22.1877046,22.49034674,14,24,3
2022-03-24 14:15:00,26.21471183,22.03775469,22.49328818,14,24,3
2022-03-24 14:30:00,26.21605841,21.93200648,22.49475882,14,24,3
2022-03-24 14:45:00,26.21740496,21.93498914,22.65034402,14,24,3
2022-03-24 15:00:00,26.22009791,21.93648039,22.65180896,15,24,3
2022-03-24 15:15:00,26.22144433,21.93797158,22.65327385,15,24,3
2022-03-24 15:30:00,26.27257781,21.93946272,22.65473869,15,24,3
2022-03-24 15:45:00,26.27392262,21.9409538,22.65620347,15,24,3
2022-03-24 16:00:00,26.03254432,22.01246021,22.6576682,16,24,3
2022-03-24 16:15:00,26.03389648,21.9439358,22.66059751,16,24,3
2022-03-24 16:30:00,26.03660069,22.0184133,22.66206208,16,24,3
2022-03-24 16:45:00,26.03660069,21.75862807,22.62836352,16,24,3
2022-03-24 17:00:00,26.03795273,21.91559782,22.62982926,17,24,3
2022-03-24 17:15:00,26.03930473,21.76012595,22.63276058,17,24,3
2022-03-24 17:30:00,26.03930473,21.9170898,22.63422616,17,24,3
2022-03-24 17:45:00,26.0920003,21.92007358,22.37251308,17,24,3
2022-03-24 18:00:00,26.09470093,21.92007358,22.37546313,18,24,3
2022-03-24 18:15:00,26.09470093,21.92156539,22.37693807,18,24,3
2022-03-24 18:30:00,26.09605119,21.92305714,22.37841295,18,24,3
2022-03-24 18:45:00,25.84961828,21.92454884,22.37988779,18,24,3
2022-03-24 19:00:00,26.00278613,21.92604048,22.45356069,19,24,3
2022-03-24 19:15:00,26.00278613,21.99757361,22.38136256,19,24,3
2022-03-24 19:30:00,25.85233388,21.99757361,22.45503277,19,24,3
2022-03-24 19:45:00,26.05552548,21.99906252,22.45503277,19,24,3
2022-03-24 20:00:00,26.05552548,21.7376518,22.34890495,20,24,3
2022-03-24 20:15:00,26.05822835,21.7376518,22.34890495,20,24,3
2022-03-24 20:30:00,26.05822835,21.73915047,22.34890495,20,24,3
2022-03-24 20:45:00,26.05822835,21.73915047,22.34890495,20,24,3
2022-03-24 21:00:00,25.81158222,21.73915047,22.34890495,21,24,3
2022-03-24 21:15:00,25.81158222,21.81251616,22.34890495,21,24,3
2022-03-24 21:30:00,25.81158222,21.81251616,22.42116119,21,24,3
2022-03-24 21:45:00,25.86590934,21.81251616,22.42116119,21,24,3
2022-03-24 22:00:00,25.86590934,21.81251616,22.42116119,22,24,3
2022-03-24 22:15:00,25.86590934,21.81251616,22.15509006,22,24,3
2022-03-24 22:30:00,25.86590934,21.81102026,22.15509006,22,24,3
2022-03-24 22:45:00,25.86590934,21.81102026,22.22917567,22,24,3
2022-03-24 23:00:00,25.86590934,21.54685754,22.22917567,23,24,3
2022-03-24 23:15:00,25.91745771,21.81102026,22.2276953,23,24,3
2022-03-24 23:30:00,25.91745771,21.62058021,22.2276953,23,24,3
2022-03-24 23:45:00,25.67137811,21.62058021,22.22621487,23,24,3
2022-03-25 00:00:00,25.67137811,21.62058021,22.22621487,0,25,3
2022-03-25 00:15:00,25.67001469,21.61907704,22.29869165,0,25,3
2022-03-25 00:30:00,25.67001469,21.61907704,22.29721383,0,25,3
2022-03-25 00:45:00,25.67001469,21.61907704,22.29721383,0,25,3
2022-03-25 01:00:00,25.72451811,21.61757381,22.0303168,1,25,3
2022-03-25 01:15:00,25.66865123,21.61757381,22.0303168,1,25,3
2022-03-25 01:30:00,25.72451811,21.68966431,22.02882906,1,25,3
2022-03-25 01:45:00,25.72179455,21.68966431,22.02882906,1,25,3
2022-03-25 02:00:00,25.4732353,21.68816376,22.02882906,2,25,3
2022-03-25 02:15:00,25.72043271,21.68816376,22.1031485,2,25,3
2022-03-25 02:30:00,25.52798568,21.68816376,22.10166347,2,25,3
2022-03-25 02:45:00,25.67819455,21.42317574,22.10166347,2,25,3
2022-03-25 03:00:00,25.67819455,21.42317574,22.10017837,3,25,3
2022-03-25 03:15:00,25.52661776,21.42166502,22.09869323,3,25,3
2022-03-25 03:30:00,25.67683134,21.42166502,22.09869323,3,25,3
2022-03-25 03:45:00,25.67683134,21.42166502,22.09720803,3,25,3
2022-03-25 04:00:00,25.5252498,21.49562196,22.09720803,4,25,3
2022-03-25 04:15:00,25.6754681,21.49562196,22.09572277,4,25,3
2022-03-25 04:30:00,25.72724149,21.49562196,22.16843558,4,25,3
2022-03-25 04:45:00,25.48145226,21.49411403,22.16695297,4,25,3
2022-03-25 05:00:00,25.72724149,21.49411403,22.16695297,5,25,3
2022-03-25 05:15:00,25.48145226,21.49260603,21.90067499,5,25,3
2022-03-25 05:30:00,25.48008287,21.49260603,22.1654703,5,25,3
2022-03-25 05:45:00,25.48008287,21.49260603,22.1654703,5,25,3
2022-03-25 06:00:00,25.47871344,21.49109798,22.16398757,6,25,3
2022-03-25 06:15:00,25.53208917,21.49109798,22.16398757,6,25,3
2022-03-25 06:30:00,25.53208917,21.48958987,22.16398757,6,25,3
2022-03-25 06:45:00,25.53208917,21.56341952,22.16250479,6,25,3
2022-03-25 07:00:00,25.53072138,21.29910369,21.89768976,7,25,3
2022-03-25 07:15:00,25.53072138,21.29910369,22.16102195,7,25,3
2022-03-25 07:30:00,25.53072138,21.45488737,21.8947043,7,25,3
2022-03-25 07:45:00,25.52935355,21.45488737,21.96927376,7,25,3
2022-03-25 08:00:00,25.28106228,21.29758819,21.8947043,8,25,3
2022-03-25 08:15:00,25.33742997,21.45337787,21.96778374,8,25,3
2022-03-25 08:30:00,25.33605602,21.29607263,21.96778374,8,25,3
2022-03-25 08:45:00,25.33605602,21.29607263,22.15805612,8,25,3
2022-03-25 09:00:00,25.33605602,21.29455702,21.89171861,9,25,3
2022-03-25 09:15:00,25.33468203,21.29455702,21.89171861,9,25,3
2022-03-25 09:30:00,25.33468203,21.29455702,21.89171861,9,25,3
2022-03-25 09:45:00,25.33468203,21.29455702,21.96629366,9,25,3
2022-03-25 10:00:00,25.38960764,21.4503587,21.96629366,10,25,3
2022-03-25 10:15:00,25.38686302,21.36875335,21.96629366,10,25,3
2022-03-25 10:30:00,25.38960764,21.36875335,21.96480352,10,25,3
2022-03-25 10:45:00,25.14051022,21.29304135,21.96480352,10,25,3
2022-03-25 11:00:00,25.14051022,21.52426182,21.96480352,11,25,3
2022-03-25 11:15:00,25.13912999,21.29304135,21.96629366,11,25,3
2022-03-25 11:30:00,25.38686302,21.5257686,21.96629366,11,25,3
2022-03-25 11:45:00,25.14051022,21.37026611,21.96629366,11,25,3
2022-03-25 12:00:00,25.14051022,21.5257686,21.96629366,12,25,3
2022-03-25 12:15:00,25.14189041,21.26271556,21.96629366,12,25,3
2022-03-25 12:30:00,25.19844011,21.26271556,21.96778374,12,25,3
